,Product Title, Price,Parent Category,Sub Category,Product Tag,Short Description,Meta,Long Description,Product-Image-(Vincent-will-fill-in),Walmart Price,Shoppers Value,Willow Grove,Main Street Bakery
Yogurt,Yogurt - Vanilla ,0.88,All Groceries,Dairy,Refrigerated,Yoplait original,,"vanilla, 6 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/fridge-yoplait-vanilla.jpg,0.66,0.72,,
Yogurt,Yogurt - Vanilla ,3.34,All Groceries,Dairy,Refrigerated,Activia,,"single serve vanilla, 4 ounce, 4 pack",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Fridge-activia-vanilla-4-pack.jpg,2.48,2.76,,
"Cheese, American",American Cheese Slices,4.53,All Groceries,Dairy,Refrigerated,Kraft ,,"Sliced, 12 ounce, 16 count",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Kraft-cheese-slices.jpg,3.74,,,
"Cheese, Cheddar",Sharp Cheddar Cheese,4.91,All Groceries,Dairy,Refrigerated,Sargento,,"Sliced, sharp, 7 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Sargento-sharp-cheddar-slices.jpg,2.68,4.05,,
"Cheese, Cheddar",Sharp Cheddar Cheese,2.4,All Groceries,Dairy,Refrigerated,Store Brand ,,"Sliced, sharp, 7 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/cheese-cheddar-sliced.jpg,1.98,1.85,,
"Cheese, Swiss",Swiss Cheese,4.91,All Groceries,Dairy,Refrigerated,Sargento ,,"Sliced, 7 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Sargento-sliced-swiss.jpg,2.74,4.05,,
"Cheese, Swiss",Swiss Cheese,3.63,All Groceries,Dairy,Refrigerated,Store Brand,,"Sliced, 7 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/cheese-swiss-sliced.jpg,2.22,3,,
"Cheese, Provolone",Provolone,4.91,All Groceries,Dairy,Refrigerated,Sargento,,"Sliced, 7 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Sargento-provalone-slices.jpg,2.68,4.05,,
"Cheese, Provolone",Provolone,2.4,All Groceries,Dairy,Refrigerated,Store Brand,,"Sliced, 7 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/cheesd-provolone-sliced.jpg,1.98,,,
Cheese,Grated Parmesan,2.79,All Groceries,Dairy,Shelf Stable,Kraft ,,"Grated Parmesan, 3 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Parmasean-3-oz.jpg,1.98,2.3,,
Cheese,Grated Parmesan,6.07,All Groceries,Dairy,Shelf Stable,Kraft,,"Grated Parmesan, 8 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Parmasan-8-oz.jpg,3.72,5.01,,
Cheese,Shredded Sharp Cheddar,4.83,All Groceries,Dairy,"Shelf, Perishable",Sargento,,"Shredded Cheddar Sharp, 8 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Sargento-shredded-cheddar.jpg,2.74,3.99,,
Cheese,Shredded Sharp Cheddar,2.69,All Groceries,Dairy,"Shelf, Perishable",Store Brand,,"Shredded Cheddar Sharp, 8 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/cheese-shredded-cheddar.jpg,2.22,1.66,,
Cheese,Mozzarella String Cheese,3.42,All Groceries,Dairy,Refrigerated,Frigo Cheese Heads,,"string, 12 pack",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/String-cheese.jpg,2.82,,,
Sour Cream,Sour Cream,1.8,All Groceries,Dairy,Refrigerated,Breakstone's,,8 ounce,https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/breakstone-sour-cream-8-oz.jpg,1.48,0.85,,
Sour Cream,Sour Cream,3.1,All Groceries,Dairy,Refrigerated,Breakstone's,,16 ounce,https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/breakstone-sour-cream16-oz.jpg,1.78,2.56,,
Orange Juice,Orange Juice with pulp,6.13,All Groceries,Beverage,Refrigerated,Tropicana,,"with pulp, 59 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Tropicano-with-pulp.jpg,3.24,5.06,,
Orange Juice,"Orange Juice, no pulp",6.13,All Groceries,Beverage,Refrigerated,Tropicana,,"no pulp, 59 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Tropicana-no-pulp.jpg,3.24,5.06,,
"Eggs, Large",Large Eggs,1.43,All Groceries,Eggs,Refrigerated,Store Brand,,1 dozen,https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/carton-of-a-dozen-eggs.jpg,1.18,0.76,,
"Eggs, Large",Large Eggs,0.83,All Groceries,Eggs,Refrigerated,Store Brand,,1/2 dozen,https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/half-dozen-eggs.jpg,0.68,0.42,,
"Eggs, Large",Organic Eggs,5.41,All Groceries,Eggs,Refrigerated,Store Brand ,,"organic, brown, 1 dozen",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/dozen-brown-eggs.jpg,4.47,,,
"Bacon, Pork",Hardwood Smoked Bacon,6.43,All Groceries,Meat,Refrigerated,Gwaltney ,,"hardwood smoked, 16 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Gwaltney-hardwood_smoked_premium_sliced_bacon_16oz.jpg,3.43,5.31,,
"Bacon, Pork",Bacon,4.58,All Groceries,Meat,Refrigerated,Store Brand,,"Original, 16 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Fridge-bacon-store-brand.jpg,3.63,3.78,,
"Bacon, Turkey",Turkey Bacon,3.82,All Groceries,Meat,Refrigerated,Oscar Mayer,,12 ounce,https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Oscar-Mayer-turkey-bacon.jpg,2.98,3.15,,
"Sausage, Pork","Maple Sausage, Pork",5.45,All Groceries,Meat,Refrigerated,Jimmy Dean,,"maple, 1 pound roll ",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/premium_pork_maple_sausage.jpg,3.5,4.5,,
"Sausage, Pork","Sausage Links, Pork",5.39,All Groceries,Meat,Refrigerated,Jimmy Dean,,"links, fully-cooked, 9.6 ounce (12 count)",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/JD-sausage-links.GIF,3.98,4.45,,
"Sausage, Pork","Sausage Patties, Pork",4.3,All Groceries,Meat,Refrigerated,Johnsonville,,"patties, fresh, 12 ounce. (8-count )_",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/johnsonville-sausage-pattie.jpg,,3.55,,
"Sausage, Turkey","Sausage Links, Turkey",4.82,All Groceries,Meat,Refrigerated,Jimmy Dean,,"links, fully cooked, 9.6 ounce (12 count)",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/turkey-sausage-links.jpg,3.98,,,
"Sausage, Turkey","Sausage Patties, Turkey",4.82,All Groceries,Meat,Refrigerated,Jimmy Dean,,"patties, fully cooked, 9.6 ounce (8 count)",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/turkey-patties.jpg,3.98,,,
"Sausage, Veggie","Sausage Patties, Veggie",4.83,All Groceries,Meat Substitute,Refrigerated,MorningStar Farms ,,"patties, fully cooked,  8 ounce (6-count) ",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Morning-star-sausage-box.jpg,,3.99,,
Ham,Honey Ham,5.33,All Groceries,Meat,Refrigerated,Oscar Mayer,,"sliced, honey, 9 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/OM-honey-ham.jpg,3.18,4.4,,
Ham,Honey Ham,3.42,All Groceries,Meat,Refrigerated,Store Brand,,"sliced, honey, 9 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/honey-ham-store-brand.jpg,2.5,2.82,,
Turkey,Oven Roasted Turkey,5.33,All Groceries,Meat,Refrigerated,Oscar Mayer,,"sliced, oven roasted, 9 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/OM-sliced-turkey.jpg,3.33,4.4,,
Turkey,Oven Roasted Turkey,3.43,All Groceries,Meat,Refrigerated,Store Brand,,"sliced, oven roasted, 9 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/sliced-turkey-store-brand.jpg,2.5,2.83,,
Roast Beef,"Roast Beef, sliced",4.05,All Groceries,Meat,Refrigerated,Oscar Mayer,,"sliced, slow roasted, 7 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/OM-roast-beef.jpg,3.34,,,
Roast Beef,"Roast Beef, sliced",3.74,All Groceries,Meat,Refrigerated,Store Brand,,"sliced, slow roasted, 7 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/roast-beef-lunch-Meat.jpg,2.56,3.09,,
Beef Bologna,Beef Bologna,5.18,All Groceries,Meat,Refrigerated,Oscar Mayer,,"sliced, 16 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Fridge_16oz-Beef-Bologna.jpg,4.28,,,
Beef,Ground Beef,3.62,All Groceries,Meat,Refrigerated,Store Brand ,,"Ground, 1 pound 75/25",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/GroundBeef-1-low.jpg,2.88,2.99,,
Turkey,Ground Turkey,4.82,All Groceries,Meat,Refrigerated,Store Brand,,"Ground, 1 pound ",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/ground-turkey.jpg,3.98,,,
Chicken ,Chicken Breast,4.64,All Groceries,Meat,Refrigerated,Store Brand,,"breast, fresh, 1 pound",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/chicken-breast-raw.jpg,3.83,1.99,,
Chicken ,Fried Chicken ,8.09,All Groceries,Meat,Refrigerated,Store Brand,," 8-piece, fried",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/fried-chicken-8.jpg,5.98,6.68,,
Chicken ,"Rotisserie, Chicken ",9.66,All Groceries,Meat,Refrigerated,Store Brand,,"rotisserie, family size 44 ounce_",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/rotisserie-chicken.jpg,7.98,,,
Hamburgers ,Hamburger Patties,15.57,All Groceries,Meat,Refrigerated,Bubba Burger,,"patties, beef, 2 pound",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/bubba-burgers.jpg,11.98,12.86,,
Hot Dogs,Hot Dogs,5.63,All Groceries,Meat,Refrigerated,Ball Park,,"all-beef, 15 ounce (8 count)",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Fridge-ballpark-beef-frank-400x400.jpg,2.67,4.65,,
Bread,Whole Wheat Bread,4.75,All Groceries,Bread,"Shelf, Perishable",Pepperidge Farm ,,"sliced, whole wheat, 24 ounce loaf",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/PF-whole-wheat.jpg,2.98,3.92,,
Bread,Whole Wheat Bread,3.55,All Groceries,Bread,"Shelf, Perishable",Natureês Own,,"sliced, whole wheat, 20 ounce loaf",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/NO-whole-wheat.jpg,2.88,2.93,,
Bread,White Bread,4.4,All Groceries,Bread,"Shelf, Perishable",Pepperidge Farm,,"sliced, white, 24 ounce loaf",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/PF-white.jpg,2.98,3.63,,
Bread,White Bread,3.25,All Groceries,Bread,"Shelf, Perishable",Sunbeam Giant,,"sliced, white, 24 ounce loaf",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/sunbeam-bread.jpg,2.68,2.48,,
Bread,Rye Bread,4.23,All Groceries,Bread,"Shelf, Perishable",Pepperidge Farm,,"sliced, seeded rye, 16 ounce loaf",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/PF-seeded-rye.jpg,3.34,3.49,,
Bread,Multi-Grain Bread,4.75,All Groceries,Bread,"Shelf, Perishable",Pepperidge Farm,,"sliced, multi-grain, 24 ounce loaf",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/PF-multi-grain.jpg,2.98,3.92,,
"Bread, Sliced","Gluten Free, Multi-Grain Bread",5.43,All Groceries,Bread,"Shelf, Perishable",Schar,,"multi-grain gluten free, 14 ounce loaf",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Schar-gluten-free.jpg,4.48,,,
English Muffins,English Muffins,2.42,All Groceries,Bread,"Shelf, Perishable",Thomasê,,6 count,https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Thomas_original_EM_package_0.jpg,2,,,
English Muffins,English Muffins,1.55,All Groceries,Bread,"Shelf, Perishable",Store Brand,,6 count,https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/english-muffin-store-brand.jpg,1.18,1.28,,
Bagels,Bagels - Plain,3.13,All Groceries,Bread,"Shelf, Perishable",Store Brand,,"Plain, 6 count",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/plain-bagels.jpg,2.58,2.05,,
Bagels,Cinnamon Raisin Bagels,3.13,All Groceries,Bread,"Shelf, Perishable",Store Brand,,"Cinnamon & Raisin, 6 count",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Cinnamon-Raisin-Bagels-4-1-of-1.jpg,2.58,2.12,,
"Bread, Potato","Bread, Potato",3.8,All Groceries,Bread,"Shelf, Perishable",Martin's ,,sliced,https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/martins-potato-bread.jpg,2.48,3.14,,
Plain Tortillas 10Ó,Plain Tortillas 10”,2.69,All Groceries,Bread,"Shelf, Perishable",Store Brand,,"flour, large, 8 pack",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/tortilla.jpg,1.98,2.22,,
Plain Tortillas 10Ó,Plain Tortillas 10”,2.7,All Groceries,Bread,"Shelf, Perishable",La Banderita,,"flour, extra large, 10 pack",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/La-Banderitta-tortilla.jpg,2.23,,,
Taco Shells,Taco Shells,2.34,All Groceries,Bread,Shelf Stable,Old El Paso,,"crunchy corn, 12 pack",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/old-el-paso-taco-shells.jpg,1.18,1.93,,
Buns,Hot Dog Buns,2.38,All Groceries,Bread,"Shelf, Perishable",Wonder,,"hot dog, 12 ounce, 8 count",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/shelf-Wonder_ClassicHotDogBuns_Buns_12oz.jpg,1.96,,,
Buns,Hot Dog Buns,1.6,All Groceries,Bread,"Shelf, Perishable",Store Brand,,"hot dog, 12 ounce, 8 count",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/hotdogBuns.jpg,0.87,1.32,,
Buns,Hamburger Buns,2.03,All Groceries,Bread,"Shelf, Perishable",Wonder,,"burger, 12 ounce, 8 count",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/shelf-wonder-hamburger-buns.jpg,1.67,,,
Buns,Hamburger Buns,1.6,All Groceries,Bread,"Shelf, Perishable",Store Brand,,"burger, 12 ounce, 8 count",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/hamburger-buns.jpg,0.87,1.32,,
Fun Pak Cereals,Fun Pak Cereals,4.98,All Groceries,Cereal,Shelf Stable,Kellogg's,,"variety, 8 count",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/kelloggs-fun-pack.jpg,2.48,4.11,,
Oatmeal,Oatmeal - Variety Pack,4.78,All Groceries,Cereal,Shelf Stable,Quaker,,"flavor variety, 15 ounce, 10 pack",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/quaker-oatmeal-flavor-variety.jpg,2.18,3.95,,
Oatmeal,Oatmeal - Fruit & Cream,4.78,All Groceries,Cereal,Shelf Stable,Quaker,,"fruit & cream variety, 9.8 ounce, 8 pack",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/quaker-oatmeal-fruit-and-cream-variety.jpg,2.18,3.95,,
Cheerios,Cheerios,5.11,All Groceries,Cereal,Shelf Stable,General Mills,,"regular, 12 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/cheerios-12-oz.jpg,2.98,4.22,,
Honey Nut Cheerios,Honey Nut Cheerios,5.8,All Groceries,Cereal,Shelf Stable,General Mills,,12.25 ounce,https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Honey-Nut-Cheerios.jpg,2.98,4.79,,
Special K,Special K,5.15,All Groceries,Cereal,Shelf Stable,Kellogg's,,"Original, 12 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/special-k-12-oz.jpg,2.98,4.25,,
Frosted Flakes,Frosted Flakes,2.64,All Groceries,Cereal,Shelf Stable,Kellogg's,,10.5 ounce,https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/frosted-flakes.jpg,,2.18,,
Lucky Charms,Lucky Charms,5.8,All Groceries,Cereal,Shelf Stable,General Mills,,16 ounce ,https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/lucky-charms-16-oz.jpg,2.98,4.79,,
Potatoes,Russet Potatoes,3.96,All Groceries,Produce,"Shelf, Perishable",,,"russet, 5 pound bag",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/shelf-5-lb-bag-potatos.jpg,3.27,2.22,,
Potatoes,Russet Potatoes,1.07,All Groceries,Produce,"Shelf, Perishable",,per pound,"russet, each",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/single-potato.jpg,0.88,0.59,,
Carrots,"Carrots, Whole",3.61,All Groceries,Produce,Refrigerated,,,"whole, 1 pound bag",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Fridge-bag-carrots.jpg,2.98,1.16,,
Carrots,"Carrots, Baby",1.13,All Groceries,Produce,Refrigerated,,,"Baby, 1 pound bag",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Fridge-Baby-carrots.jpg,0.93,0.66,,
Onions,Onions,1.08,All Groceries,Produce,"Shelf, Perishable",,per pound,"yellow, each, approx. 12 ounce each",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/onion.jpg,0.88,0.89,,
Cucumber,Cucumber,0.66,All Groceries,Produce,Refrigerated,,,each,https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Cucumber.jpg,0.52,0.54,,
Tomatoes,Vine Ripened Tomatoes,2.64,All Groceries,Produce,Shelf Stable,,per pound,"vine ripened, each, approx. 4 ounce each",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/shelf-Vine-Ripe-Tomatoes.jpg,1.48,2.18,,
Tomatoes,Grape Tomatoes,2.92,All Groceries,Produce,Shelf Stable,,,"grape, 1 pint",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/grape-tomatoes.jpg,1.97,2.41,,
Tomatoes,Slicing Tomatoes,2.04,All Groceries,Produce,Shelf Stable,,per pound,"slicing, 1 each, approx. 12 ounce each",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Tomato-See.jpg,1.68,,,
Mushrooms,Mushrooms,2.04,All Groceries,Produce,Refrigerated,,,"fresh, whole, 16 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/mushrooms.jpg,1.68,1.54,,
Broccoli,Broccoli,1.8,All Groceries,Produce,Refrigerated,,,"crown, each",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/broccoli-crown.jpg,1.48,,,
Iceberg Lettuce,Iceberg Lettuce,1.54,All Groceries,Produce,Refrigerated,,,1 head,https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/iceberglettuce.jpg,0.93,1.27,,
Romaine/Green Leaf Lettuce,Romaine/Green Leaf Lettuce,1.32,All Groceries,Produce,Refrigerated,,,1 head,https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/leaf-lettuce.jpg,0.98,1.09,,
Salad Mix,Salad Mix,3.56,All Groceries,Produce,Refrigerated,,,"classic iceberg lettuce, 1 pound bag",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Salad-Mix.jpg,2.94,,,
Apples,Gala Apples,1.78,All Groceries,Produce,"Shelf, Perishable",,per pound,"Gala, 1 each, approx. 8 ounce each",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Shelf-apples-gala.jpg,1.47,1.38,,
Apples,Fuji Apples,1.78,All Groceries,Produce,"Shelf, Perishable",,per pound,"Fuji, 1 each, approx. 8 ounce each",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/fuji-apples.jpg,1.47,,,
Apples,Granny Smith Apples,1.78,All Groceries,Produce,"Shelf, Perishable",,per pound,"Granny Smith, 1 each, approx. 8 ounce each",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/granny-smith-apple.jpg,1.47,1.28,,
Bananas,Bananas,0.63,All Groceries,Produce,"Shelf, Perishable",,per pound,"1 each, approx. 8 ounce each",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/banana.jpg,0.49,0.52,,
Macaroni,Macaroni - Mac N Cheese,1.98,All Groceries,Pasta,Shelf Stable,Kraft,,"Mac N Cheese, 7.5 ounce box",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/kraft-mac-and-cheese-225.jpg,0.98,1.63,,
Macaroni,Pasta - Angel Hair ,1.88,All Groceries,Pasta,Shelf Stable,Barilla,,"angel hair, 1 pound ",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/shelf-barilla-angel-hair.jpg,1.34,1.55,,
Macaroni,Pasta - Spaghetti ,1.88,All Groceries,Pasta,Shelf Stable,Barilla,,"spaghetti, 1 pound ",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/shelf-barilla-spaghetti.jpg,1.34,1.55,,
Macaroni,Pasta - Elbows,1.88,All Groceries,Pasta,Shelf Stable,Barilla,,"elbows, 1 pound",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/elbow.jpg,1.34,1.55,,
Macaroni,Pasta - Penne,1.88,All Groceries,Pasta,Shelf Stable,Barilla,,"penne, 1 pound",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/shelf-barilla-penne-1lb-1,1.34,1.55,,
Macaroni,Pasta - Shells,1.63,All Groceries,Pasta,Shelf Stable,Barilla,,"shells, 1 pound",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/shelf-barilla-shells-medium-dry-102384.jpg,1.34,,,
Sauce,Marinara Sauce - Vegetable ,3.31,All Groceries,Other,Shelf Stable,Prego,,"marinara vegetable, 24 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/prego-traditional.jpg,1.98,2.73,,
Sauce,Marinara Sauce - Vegetable ,3.3,All Groceries,Other,Shelf Stable,Ragu,,"marinara vegetable, 24 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/ragu.jpg,1.77,2.72,,
Sauce,Marinara Sauce - Meat,3.31,All Groceries,Other,Shelf Stable,Prego,,"marinara w/Meat, 24 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/prego-Meat.jpg,1.98,2.73,,
Sauce,Marinara Sauce - Meat,3.3,All Groceries,Other,Shelf Stable,Ragu,,"marinara w/ Meat, 24 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/ragu-Meat-sauce.jpg,1.64,2.72,,
Beans,Kidney Beans,1.42,All Groceries,Canned,Shelf Stable,Hanover,,"Red Kidney, 15 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/Hanover-red-beans.jpg,0.66,1.17,,
Beans,Kidney Beans,0.97,All Groceries,Canned,Shelf Stable,Store Brand,,"Red Kidney, 15 ounce",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/canned-red-kidney-beans.jpg,0.62,0.8,,
