Product Title, Price,Parent Category,Sub Category,Product Tag,Short Description,Meta,Long Description,Product-Image-(Vincent-will-fill-in),Walmart Price,Shoppers Value,Willow Grove,Main Street Bakery,Primary Store,Status
Ice Cream,5.86,All Groceries,Dairy,Freezer,Turkey Hill,48 oz,Homemade Vanilla,https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Turkey-Hill-Homemade-Vanilla-Ice-Cream.jpg,,4.88,,,Shoppers Value,
Ice Cream,5.86,All Groceries,Dairy,Freezer,Turkey Hill,48 oz,Chocolate,https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Turkey-Hill-Dutch-Chocolate-Ice-Cream.jpg,,4.88,,,Shoppers Value,
Ice Cream,5.86,All Groceries,Dairy,Freezer,Turkey Hill,48 oz,Butter Pecan,https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Turkey-Hill-Butter-Pecan-Ice-Cream.jpg,,4.88,,,Shoppers Value,
Ice Cream,5.86,All Groceries,Dairy,Freezer,Turkey Hill,48 oz,Cookies & Cream,https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Turkey-Hill-Cookies-n-Cream-Ice-Cream.jpg,,4.88,,,Shoppers Value,
Ice Cream,5.86,All Groceries,Dairy,Freezer,Turkey Hill,48 oz,Black Cherry,https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Turkey-Hill-Black-Cherry-Ice-Cream.jpg,,4.88,,,Shoppers Value,
Ice Cream,5.86,All Groceries,Dairy,Freezer,Turkey Hill,48 oz,Rocky Road,https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Turkey-Hill-Rocky-Road-Ice-Cream.jpg,,4.88,,,Shoppers Value,
Ice Cream,5.86,All Groceries,Dairy,Freezer,Turkey Hill,48 oz,Choco Mint Chip,https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Turkey-Hill-Choco-Mint-Chip-Ice-Cream.jpg,,4.88,,,Shoppers Value,
Ice Cream,4.92,All Groceries,Snack,Freezer,Popsicle,20 pk,Rainbow flavors,https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Rainbow-Popsicle-24-Pack.jpg,,4.1,,,Shoppers Value,
Ice Cream,1.06,All Groceries,Snack,"Shelf, Stable",store brand,12 pk,Ice cream cups/ cones,https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Ice-Cream-Cones-12.jpg,,0.88,,,Shoppers Value,
Ice Cream,1.44,All Groceries,Snack,"Shelf, Stable",Fun Pops,12 pk,variety flavor ices,https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Fun-Pops-Variety-Flavor-Ices.jpg,,1.2,,,Shoppers Value,
Charcoal,13.58,All Groceries,Other,"Shelf, Stable",Kingsford,11.6 lb,"Charcoal, Matchlight",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Kingsford-Match-Light-Charcoal.jpg,,11.32,,,Shoppers Value,
Lighter Fluid,5.11,All Groceries,Other,"Shelf, Stable",Kingsford,1 qt,Lighter fluid,https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Kingsford-Odorless-Charcoal-Lighter-Fluid.jpg,,4.26,,,Shoppers Value,
Lighter Fluid,3.95,All Groceries,Other,"Shelf, Stable",Store Brand ,1 qt,Lighter fluid,https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/thumbnail_StoreBrandLIghterFluid.jpg,,3.29,,,Shoppers Value,
Fire Pit Wood,4.87,All Groceries,Other,"Shelf, Stable",Store Brand ,bundle,Fire Wood,https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Firewood-Tall.jpg,,4.06,,,Shoppers Value,
Ibuprofen,5.46,All Groceries,"Medicines, adult","Shelf, Stable",Advil,24 ct,"Ibuprofen, coated tablets",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Advil-Ibuprofen-24-Coated-Tablets-200mg.jpg,,4.55,,,Shoppers Value,
Ibuprofen,1.72,All Groceries,"Medicines, adult","Shelf, Stable",Store Brand ,100 ct,"Ibuprofen, coated tablets",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Ibuprofen-100-count---200mg-Tablets.jpg,,1.43,,,Shoppers Value,
acetaminophen,5.15,All Groceries,"Medicines, adult","Shelf, Stable",Tylenol,24 ct,"Acetaminophen, Extra Strength",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Tylenol-Acetaminophen-Extra-Strength-24-Caplets-500mg.jpg,,4.29,,,Shoppers Value,
acetaminophen,1.08,All Groceries,"Medicines, adult","Shelf, Stable",Store Brand ,24 ct,"Acetaminophen, Extra Strength",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Equaline-Extra-Strength-Acetaminophen-24-Caplets-500mg.jpg,,0.9,,,Shoppers Value,
Allergy Relief,6.47,All Groceries,"Medicines, adult","Shelf, Stable",Benadryl,24 ct,Allergy Relief,https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Benadryl-Allergy-Ultratabs-24-tablets.jpg,,5.39,,,Shoppers Value,
Allergy Relief,1.55,All Groceries,"Medicines, adult","Shelf, Stable",Store Brand ,14 ct,Allergy Relief (compared to Zyrtec),https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Equaline-All-Day-Energy-14-Tablets.jpg,,1.29,,,Shoppers Value,
Formula,23.84,All Groceries,Baby,"Shelf, Stable",Similac,12 oz,"Baby Formula, Sensitive",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/OptiGro-Similac-Sensitive-Infant-Formula-with-Iron,,19.87,,,Shoppers Value,
cookies,5.2,All Groceries,Snack,"Shelf, Stable",Nabisco,14.3 oz,"Cookies, Oreo",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Nabisco-Oreo-Chocolate-Sandwich-Cookie.jpg,,4.33,,,Shoppers Value,
cookies,4.38,All Groceries,Snack,"Shelf, Stable",Nabisco,11.75 oz,"Cookies, Chips Ahoy, Chunky",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Chips-Ahoy-Chunky-Chocolate-Chip-Cookies.jpg,,3.65,,,Shoppers Value,
cookies,5.41,All Groceries,Snack,"Shelf, Stable",Nabisco,16 oz,"Cookies, Nutter Butter",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Nabisco-Nutter-Butter-Peanut-Butter-Sandwich-Cookies.jpg,,4.51,,,Shoppers Value,
cookies,4.84,All Groceries,Snack,"Shelf, Stable",Nabisco,11 oz,"Cookies, Nilla Wafers",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Nabisco-Nilla-Wafers.jpg,,4.03,,,Shoppers Value,
Brownies,1.84,All Groceries,Snack,"Shelf, Stable",Pillsbury,13 x 9,"Brownies, chocolate fudge",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Pillsbury-Chocolate-Fudge-brownie-mix.jpg,,1.53,,,Shoppers Value,
Brownies,1.84,All Groceries,Snack,"Shelf, Stable",Pillsbury,13 x 9,"Brownies, milk chocolate",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Pillsbury-Milk-Chocolate-brownie-mix.jpg,,1.53,,,Shoppers Value,
Bread,6.55,All Groceries,bread,Freezer,Rudi's,12 oz,"Bread, gluten-free, original",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Rudis-Gluten-Free-Original-bread.jpg,,5.46,,,Shoppers Value,
Bread,6.55,All Groceries,bread,Freezer,Rudi's,13 oz,"bread, gluten-free, multigrian",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Rudis-Gluten-Free-Multigrain-bread.jpg,,5.46,,,Shoppers Value,
Muffins,1.24,All Groceries,bread,Refrigerated,Store Brand ,12 oz,"bread, english muffins",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/english-muffin-store-brand.jpg,,1.03,,,Shoppers Value,
Buns,3.77,All Groceries,bread,"Shelf, Perishable",Martin's,8 count,"bread, hot dog buns, potato",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Martins-Potato-Rolls-Hot-Dog-8-count.jpg,,3.14,,,Shoppers Value,
Buns,3.77,All Groceries,bread,"Shelf, Perishable",Martin's,8 count,"bread, hamburger buns, potato",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Martins-Potato-Rolls-8-Sandwich-Rolls.jpg,,3.14,,,Shoppers Value,
soup,1.28,All Groceries,canned,"Shelf, Stable",College Inn,14.5 oz,chicken broth,https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/College-Inn-Chicken-Broth.jpg,,1.07,,,Shoppers Value,
pretzels,3.73,All Groceries,Snack,"Shelf, Stable",Utz,16 oz,"Pretzels, extra thin twists",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Utz-Extra-Thins-Pretzels.jpg,,3.11,,,Shoppers Value,
candy,1.31,All Groceries,Snack,"Shelf, Stable",Haribo,5 oz,Gummy Bears,https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Haribo-Gold-Bears-Gummi-Candy-Original.jpg,,1.09,,,Shoppers Value,
trail mix,3.72,All Groceries,Snack,"Shelf, Stable",store brand,9 oz,"Trail Mix, Classic",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Essential-Everyday-Classic-Trail-Mix.jpg,,3.1,,,Shoppers Value,
cheese,4.09,All Groceries,dairy,refridgerated,Crystal Farms,10 oz,"Cheese, mild chedder, cracker cuts",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Crystal-Farms-Cracker-Cuts-Mild-Cheddar-Cheese.jpg,,3.41,,,Shoppers Value,
cheese,4.09,All Groceries,dairy,refridgerated,Crystal Farms,10 oz,"Cheese, sharp chedder, cracker cuts",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Crystal-Farms-Cracker-Cuts-Sharp-Cheddar-Cheese.jpg,,3.41,,,Shoppers Value,
cheese,4.09,All Groceries,dairy,refridgerated,Crystal Farms,10 oz,"Cheese, pepper jack, cracker cuts",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Crystal-Farms-Cracker-Cuts-Pepper-Jack-Cheese.jpg,,3.41,,,Shoppers Value,
cheese,4.09,All Groceries,dairy,refridgerated,Crystal Farms,10 oz,"Cheese, Swiss, cracker cuts",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Crystal-Farms-Cracker-Cuts-Swiss-Cheese.jpg,,3.41,,,Shoppers Value,
cheese,4.24,All Groceries,Dairy,Refrigerated,Kraft,6.4 oz,"cheddar cheese, sharp, cubed",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Kraft-Natural-Cheese-Cubes-Sharp-Cheddar.jpg,,3.53,,,Shoppers Value,
cheese,4.32,All Groceries,Dairy,refrigerated,Crystal Farms,10 oz,"Cheese, mozzarela, string",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Crystal-Farms-Wisconsin-String-Cheese.jpg,,3.6,,,Shoppers Value,
bacon,4.44,All Groceries,meat,Refrigerated,Kunzler,10 oz,"bacon, original",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Kunzler-Bacon-1.jpg,,3.7,,,Shoppers Value,
meat,5.18,All Groceries,meat,refrigerated,Hillshire Farms,7 oz,"deli meat, roast beef, sliced",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/HFRoastBeef.jpg,,4.32,,,Shoppers Value,
meat,5.29,All Groceries,meat,refrigerated,Hillshire Farms,9 oz,"deli meat, smoked turkey",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Hillshire-Farm-Deli-Select-Mesquite-Smoked-Turkey-Breast-Ultra-Thin.jpg,,4.41,,,Shoppers Value,
meat,5.18,All Groceries,meat,refrigerated,Hillshire Farms,9 oz,"deli meat, smoked ham",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/HFSmokedHam.gif,,4.32,,,Shoppers Value,
meat,5.18,All Groceries,meat,refrigerated,Hillshire Farms,9 oz,"deli meat, honey ham",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Hillshire-Farm-Deli-Select-Honey-Ham-Ultra-Thin.jpg,,4.32,,,Shoppers Value,
meat,3.42,All Groceries,meat,Freezer,store brand,1 lb,"Turkey, ground, frozen",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/ground-turkey.jpg,,2.85,,,Shoppers Value,
meat,3.42,All Groceries,meat,refrigerated,store brand,"1 lb, approx","Chicken breast, ",https://pilot.myvacayvalet.com/wp-content/uploads/2016/11/chicken-breast-raw.jpg,,2.85,,,Shoppers Value,
meat,7.81,All Groceries,meat,refrigerated,store brand,approx 48 oz,"Chicken, rotisserie",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Rotisserie-Chicken.jpg,,6.51,,,Shoppers Value,
meat,3.2,All Groceries,meat,refrigerated,Kunzler,16 oz,"hot dogs, regular",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Kunzler-Franks.jpg,,2.67,,,Shoppers Value,
pasta,2.8,All Groceries,pasta,"Shelf, Stable",Betty Crocker,7.5 oz,"Suddenly Salad, classic",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Betty-Crocker-Suddenly-Pasta-Salad-Classic.jpg,,2.33,,,Shoppers Value,
pasta,2.8,All Groceries,pasta,"Shelf, Stable",Betty Crocker,7.5 oz,"Suddenly Salad, creamy italian",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Betty-Crocker-Suddenly-Pasta-Salad-Caesar.jpg,,2.33,,,Shoppers Value,
pasta,2.59,All Groceries,pasta,"Shelf, Stable",Mueller's ,12 oz,"Shells, Jumbo",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Muellers-Jumbo-Macaroni-Shells.jpg,,2.16,,,Shoppers Value,
pasta,2.14,All Groceries,pasta,"Shelf, Stable",Mueller's ,16 oz,"Shells, small sea",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Muellers-Small-Sea-Shells-Macaroni.jpg,,1.78,,,Shoppers Value,
beans,2.76,All Groceries,canned,"Shelf, Stable",Bush's,28 oz,"Baked Beans, Bush's Best, Homestyle",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Bushs-Homestyle-Baked-Beans-28oz.jpg,,2.3,,,Shoppers Value,
beans,2.76,All Groceries,canned,"Shelf, Stable",Bush's,28 oz,"Baked Beans, Bush's Best, Vegetarian",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Bushs-vegetarian-baked-beans.jpg,,2.3,,,Shoppers Value,
oil,2.32,All Groceries,"Other, Condiments","Shelf, Stable",Crisco,16 oz,"Oil, vegetable",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Crisco-Vegetable-Oil.jpg,,1.93,,,Shoppers Value,
oil,4.49,All Groceries,"Other, Condiments","Shelf, Stable",store brand,17 oz,"Oil, olive, extra virgin",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Essential-Everyday-Extra-Virgin-Olive-Oil.jpg,,3.74,,,Shoppers Value,
coffee,1.4,All Groceries,Kitchen Ware,"Shelf, Stable",store brand,100 ct,"Filters, coffee, 8-12 cup",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Coffee-Filters.jpg,,1.17,,,Shoppers Value,
Salt & Pepper,1.81,All Groceries,Condiments,"Shelf, Stable",store brand,,Salt & Pepper combo,https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Essental-Everyday-Iodized-Salt-&-Pepper-Set.jpg,,1.51,,,Shoppers Value,
Pizza,5.42,All Groceries,Quick Foods,Freezer,Culinary Circle,"12""","Pizza, pepperoni, thin crust",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Culinary-Circle-Ultra-Thin-Crust-Pepperoni-Pizza.jpg,,4.52,,,Shoppers Value,
Pizza,5.42,All Groceries,Quick Foods,Freezer,Culinary Circle,"12""","Pizza, pepperoni, rising crust",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Culinary-Circle-Rising-Crust-Pepperoni-Pizza.jpg,,4.52,,,Shoppers Value,
Pizza,5.42,All Groceries,Quick Foods,Freezer,Culinary Circle,"12""","Pizza, supreme, thin crust",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Culinary-Circle-Ultra-Thin-Crust-Supreme-Pizza.jpg,,4.52,,,Shoppers Value,
Pizza,5.42,All Groceries,Quick Foods,Freezer,Culinary Circle,"12""","Pizza, supreme, rising crust",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Culinary-Circle-Rising-Crust-Supreme-Pizza.jpg,,4.52,,,Shoppers Value,
Pizza,5.42,All Groceries,Quick Foods,Freezer,Culinary Circle,"12""","Pizza, cheese, rising crust",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Culinary-Circle-Rising-Crust-5-Cheese-Pizza.jpg,,4.52,,,Shoppers Value,
Pizza,5.26,All Groceries,Quick Foods,Freezer,Tombstone,"12""","Pizza, pepperoni",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Tombstone-Original-Pepperoni-Pizza.jpg,,4.38,,,Shoppers Value,
Pizza,5.26,All Groceries,Quick Foods,Freezer,Tombstone,"12""","Pizza, 4 meat",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Tombstone-Original-4-Meat-Pizza.jpg,,4.38,,,Shoppers Value,
Pizza,5.26,All Groceries,Quick Foods,Freezer,Tombstone,"12""","Pizza, supreme",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Tombstone-Original-Supreme-Pizza.jpg,,4.38,,,Shoppers Value,
Pizza,5.26,All Groceries,Quick Foods,Freezer,Tombstone,"12""","Pizza, cheese",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Tombstone-Original-5-Cheese-Pizza.jpg,,4.38,,,Shoppers Value,
"Chicken, frozen",5.24,All Groceries,"Quick Foods, Meat",Freezer,Banquet,24 oz,Chicken breast nuggets,https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Banquet-Chicken-Breast-Nuggets.jpg,,4.37,,,Shoppers Value,
"Chicken, frozen",5.24,All Groceries,"Quick Foods, Meat",Freezer,Banquet,24 oz,Chicken breast strips,https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Banquet-Chicken-Breast-Strips.jpg,,4.37,,,Shoppers Value,
Fries,4.09,All Groceries,Quick Foods,Freezer,Ore Ida,32 oz,"Fries, golden",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Ore-Ida-Golden-Fries-French-Fried-Potatoes.jpg,,3.41,,,Shoppers Value,
Fries,4.09,All Groceries,Quick Foods,Freezer,Ore Ida,32 oz,"fries, crinkle",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Ore-Ida-Golden-Crinkles-French-Fried-Potatoes.jpg,,3.41,,,Shoppers Value,
Waffles,3.18,All Groceries,Quick Foods,Freezer,Eggo,10 count,"Waffles, frozen",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Kelloggs-Eggo-Homestyle-10-Waffles.jpg,,2.65,,,Shoppers Value,
Waffles,1.62,All Groceries,Quick Foods,Freezer,store brand,10 count,"Waffles, frozen",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Waffles-Store-Brand.jpg,,1.35,,,Shoppers Value,
Scallops,22.8,All Groceries,"Meat, Seafood",Freezer,,"1 lb, aprox",Scallops,https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Willow-Grove-Farm-Market-Scallops.jpg,,,19,,Willow Grove,
Shrimp,16.8,All Groceries,"Meat, Seafood",Freezer,,"1 lb, aprox","Shrimp, gulf",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Willow-Grove-Farm-Market-Gulf-Shrimp.jpg,,,14,,Willow Grove,
Ham,8.99,All Groceries,meat,refrigerator,Kite's ,"1 lb, aprox","Ham, Virginia, breakfast slices",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Willow-Grove-Virginia-Cured-Ham-Breakfast-Slices.jpg,,,7.49,,Willow Grove,
pork,6.54,All Groceries,meat,refrigerated,Gore's,1 lb,"Pork, sausage, bulk",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Willow-Grove-Farm-Market-Pork-Sausage.jpg,,,5.45,,Willow Grove,
Milk,5.99,All Groceries,Dairy,refrigerator,Mt. Crawford Creamery,gallon,"Milk, whole, pasteurized Non-homogenized, creamilne",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Mt-Crawford-Creamery.jpg,,,4.99,,Willow Grove,
Milk,4.79,All Groceries,Dairy,refrigerator,Mt. Crawford Creamery,1/2 gal,"Milk, whole, pasteurized Non-homogenized, creamilne",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Mt-Crawford-Creamery.jpg,,,3.99,,Willow Grove,
Milk,5.99,All Groceries,Dairy,refrigerator,Mt. Crawford Creamery,gallon,"Milk, 2%, pasteurized Non-homogenized, creamilne",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Mt-Crawford-Creamery.jpg,,,4.99,,Willow Grove,
Milk,4.79,All Groceries,Dairy,refrigerator,Mt. Crawford Creamery,1/2 gal,"Milk, 2%, pasteurized Non-homogenized, creamilne",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Mt-Crawford-Creamery.jpg,,,3.99,,Willow Grove,
Milk,5.99,All Groceries,Dairy,refrigerator,Mt. Crawford Creamery,gallon,"Milk, skim, pasteurized Non-homogenized, creamline",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Mt-Crawford-Creamery.jpg,,,4.99,,Willow Grove,
Milk,4.79,All Groceries,Dairy,refrigerator,Mt. Crawford Creamery,1/2 gal,"Milk, skim, pasteurized Non-homogenized, creamline",https://pilot.myvacayvalet.com/wp-content/uploads/2017/04/Mt-Crawford-Creamery.jpg,,,3.99,,Willow Grove,
