Product Title, Price,Parent Category,Sub Category,Product Tag,Short Description,Meta,Long Description,Product-Image-(Vincent-will-fill-in),Shoppers Value,Willow Grove,Main Street Bakery,Primary Store,Status
Yogurt - Peach,0.86,All Groceries,Dairy,Refrigerated,Yoplait original,,"peach, 6 ounce",/wp-content/uploads/2016/11/fridge-yoplait-original-harvest-peach-thumb.jpg,0.72,,,Shoppers Value,Published
Yogurt - Vanilla ,0.86,All Groceries,Dairy,Refrigerated,Yoplait original,,"vanilla, 6 ounce",/wp-content/uploads/2016/11/fridge-yoplait-vanilla.jpg,0.72,,,Shoppers Value,Published
Yogurt - Vanilla ,3.31,All Groceries,Dairy,Refrigerated,Activia,,"single serve vanilla, 4 ounce, 4 pack",/wp-content/uploads/2016/11/Fridge-activia-vanilla-4-pack.jpg,2.76,,,Shoppers Value,Published
Sharp Cheddar Cheese,4.86,All Groceries,Dairy,Refrigerated,Sargento,,"Sliced, sharp, 7 ounce",/wp-content/uploads/2016/11/Sargento-sharp-cheddar-slices.jpg,4.05,,,Shoppers Value,Published
Sharp Cheddar Cheese,2.22,All Groceries,Dairy,Refrigerated,Store Brand ,,"Sliced, sharp, 7 ounce",/wp-content/uploads/2016/11/cheese-cheddar-sliced.jpg,1.85,,,Shoppers Value,Published
Swiss Cheese,4.86,All Groceries,Dairy,Refrigerated,Sargento ,,"Sliced, 7 ounce",/wp-content/uploads/2016/11/Sargento-sliced-swiss.jpg,4.05,,,Shoppers Value,Published
Swiss Cheese,3.6,All Groceries,Dairy,Refrigerated,Store Brand,,"Sliced, 7 ounce",/wp-content/uploads/2016/11/cheese-swiss-sliced.jpg,3,,,Shoppers Value,Published
Provolone,4.86,All Groceries,Dairy,Refrigerated,Sargento,,"Sliced, 7 ounce",/wp-content/uploads/2016/11/Sargento-provalone-slices.jpg,4.05,,,Shoppers Value,Published
Grated Parmesan,2.76,All Groceries,Dairy,Shelf Stable,Kraft ,,"Grated Parmesan, 3 ounce",/wp-content/uploads/2016/11/Parmasean-3-oz.jpg,2.3,,,Shoppers Value,Published
Grated Parmesan,6.01,All Groceries,Dairy,Shelf Stable,Kraft,,"Grated Parmesan, 8 ounce",/wp-content/uploads/2016/11/Parmasan-8-oz.jpg,5.01,,,Shoppers Value,Published
Shredded Sharp Cheddar,4.79,All Groceries,Dairy,"Shelf, Perishable",Sargento,,"Shredded Cheddar Sharp, 8 ounce",/wp-content/uploads/2016/11/Sargento-shredded-cheddar.jpg,3.99,,,Shoppers Value,Published
Shredded Sharp Cheddar,1.99,All Groceries,Dairy,"Shelf, Perishable",Store Brand,,"Shredded Cheddar Sharp, 8 ounce",/wp-content/uploads/2016/11/cheese-shredded-cheddar.jpg,1.66,,,Shoppers Value,Published
Sour Cream,1.02,All Groceries,Dairy,Refrigerated,Breakstone's,,8 ounce,/wp-content/uploads/2016/11/breakstone-sour-cream-8-oz.jpg,0.85,,,Shoppers Value,Published
Sour Cream,3.07,All Groceries,Dairy,Refrigerated,Breakstone's,,16 ounce,/wp-content/uploads/2016/11/breakstone-sour-cream16-oz.jpg,2.56,,,Shoppers Value,Published
Orange Juice with pulp,6.07,All Groceries,Beverage,Refrigerated,Tropicana,,"with pulp, 59 ounce",/wp-content/uploads/2016/11/Tropicano-with-pulp.jpg,5.06,,,Shoppers Value,Published
"Orange Juice, no pulp",6.07,All Groceries,Beverage,Refrigerated,Tropicana,,"no pulp, 59 ounce",/wp-content/uploads/2016/11/Tropicana-no-pulp.jpg,5.06,,,Shoppers Value,Published
Large Eggs,1.15,All Groceries,Eggs,Refrigerated,Store Brand,,1 dozen,/wp-content/uploads/2016/11/carton-of-a-dozen-eggs.jpg,0.96,,,Shoppers Value,Published
Large Eggs,0.5,All Groceries,Eggs,Refrigerated,Store Brand,,1/2 dozen,/wp-content/uploads/2016/11/half-dozen-eggs.jpg,0.42,,,Shoppers Value,Published
Hardwood Smoked Bacon,6.37,All Groceries,Meat,Refrigerated,Gwaltney ,,"hardwood smoked, 16 ounce",/wp-content/uploads/2016/11/Gwaltney-hardwood_smoked_premium_sliced_bacon_16oz.jpg,5.31,,,Shoppers Value,Published
Bacon,5.39,All Groceries,Meat,Refrigerated,Store Brand,,"Original, 16 ounce",/wp-content/uploads/2016/11/Fridge-bacon-store-brand.jpg,4.49,,,Shoppers Value,Published
Turkey Bacon,3.78,All Groceries,Meat,Refrigerated,Oscar Mayer,,12 ounce,/wp-content/uploads/2016/11/Oscar-Mayer-turkey-bacon.jpg,3.15,,,Shoppers Value,Published
"Maple Sausage, Pork",5.4,All Groceries,Meat,Refrigerated,Jimmy Dean,,"maple, 1 pound roll ",/wp-content/uploads/2016/11/premium_pork_maple_sausage.jpg,4.5,,,Shoppers Value,Published
"Sausage Links, Pork",5.34,All Groceries,Meat,Refrigerated,Jimmy Dean,,"links, fully-cooked, 9.6 ounce (12 count)",/wp-content/uploads/2016/11/JD-sausage-links.GIF,4.45,,,Shoppers Value,Published
"Sausage Patties, Pork",4.26,All Groceries,Meat,Refrigerated,Johnsonville,,"patties, fresh, 12 ounce. (8-count )_",/wp-content/uploads/2016/11/johnsonville-sausage-pattie.jpg,3.55,,,Shoppers Value,Published
"Sausage Patties, Veggie",4.79,All Groceries,Meat Substitute,Refrigerated,MorningStar Farms ,,"patties, fully cooked,  8 ounce (6-count) ",/wp-content/uploads/2016/11/Morning-star-sausage-box.jpg,3.99,,,Shoppers Value,Published
Honey Ham,3.38,All Groceries,Meat,Refrigerated,Store Brand,,"sliced, honey, 9 ounce",/wp-content/uploads/2016/11/honey-ham-store-brand.jpg,2.82,,,Shoppers Value,Published
Oven Roasted Turkey,3.4,All Groceries,Meat,Refrigerated,Store Brand,,"sliced, oven roasted, 9 ounce",/wp-content/uploads/2016/11/sliced-turkey-store-brand.jpg,2.83,,,Shoppers Value,Published
"Roast Beef, sliced",3.71,All Groceries,Meat,Refrigerated,Store Brand,,"sliced, slow roasted, 7 ounce",/wp-content/uploads/2016/11/roast-beef-lunch-Meat.jpg,3.09,,,Shoppers Value,Published
Ground Beef,3.59,All Groceries,Meat,Refrigerated,Store Brand ,,"Ground, 1 pound 75/25",/wp-content/uploads/2016/11/GroundBeef-1-low.jpg,2.99,,,Shoppers Value,Published
Chicken Breast,2.39,All Groceries,Meat,Refrigerated,Store Brand,,"breast, fresh, 1 pound",/wp-content/uploads/2016/11/chicken-breast-raw.jpg,1.99,,,Shoppers Value,Published
Fried Chicken ,8.02,All Groceries,Meat,Refrigerated,Store Brand,," 8-piece, fried",/wp-content/uploads/2016/11/fried-chicken-8.jpg,6.68,,,Shoppers Value,Published
Hamburger Patties,15.43,All Groceries,Meat,Refrigerated,Bubba Burger,,"patties, beef, 2 pound",/wp-content/uploads/2016/11/bubba-burgers.jpg,12.86,,,Shoppers Value,Published
Hot Dogs,5.58,All Groceries,Meat,Refrigerated,Ball Park,,"all-beef, 15 ounce (8 count)",/wp-content/uploads/2016/11/Fridge-ballpark-beef-frank-400x400.jpg,4.65,,,Shoppers Value,Published
Whole Wheat Bread,4.7,All Groceries,Bread,"Shelf, Perishable",Pepperidge Farm ,,"sliced, whole wheat, 24 ounce loaf",/wp-content/uploads/2016/11/PF-whole-wheat.jpg,3.92,,,Shoppers Value,Published
Whole Wheat Bread,3.52,All Groceries,Bread,"Shelf, Perishable",Natureês Own,,"sliced, whole wheat, 20 ounce loaf",/wp-content/uploads/2016/11/NO-whole-wheat.jpg,2.93,,,Shoppers Value,Published
White Bread,4.36,All Groceries,Bread,"Shelf, Perishable",Pepperidge Farm,,"sliced, white, 24 ounce loaf",/wp-content/uploads/2016/11/PF-white.jpg,3.63,,,Shoppers Value,Published
White Bread,2.98,All Groceries,Bread,"Shelf, Perishable",Sunbeam Giant,,"sliced, white, 24 ounce loaf",/wp-content/uploads/2016/11/sunbeam-bread.jpg,2.48,,,Shoppers Value,Published
Rye Bread,4.19,All Groceries,Bread,"Shelf, Perishable",Pepperidge Farm,,"sliced, seeded rye, 16 ounce loaf",/wp-content/uploads/2016/11/PF-seeded-rye.jpg,3.49,,,Shoppers Value,Published
Multi-Grain Bread,4.7,All Groceries,Bread,"Shelf, Perishable",Pepperidge Farm,,"sliced, multi-grain, 24 ounce loaf",/wp-content/uploads/2016/11/PF-multi-grain.jpg,3.92,,,Shoppers Value,Published
Bagels - Plain,2.46,All Groceries,Bread,"Shelf, Perishable",Store Brand,,"Plain, 6 count",/wp-content/uploads/2016/11/plain-bagels.jpg,2.05,,,Shoppers Value,Published
Cinnamon Raisin Bagels,2.54,All Groceries,Bread,"Shelf, Perishable",Store Brand,,"Cinnamon & Raisin, 6 count",/wp-content/uploads/2016/11/Cinnamon-Raisin-Bagels-4-1-of-1.jpg,2.12,,,Shoppers Value,Published
"Bread, Potato",3.77,All Groceries,Bread,"Shelf, Perishable",Martin's ,,"sliced, 8 count",/wp-content/uploads/2016/11/martins-potato-bread.jpg,3.14,,,Shoppers Value,Published
Plain Tortillas 10”,2.66,All Groceries,Bread,"Shelf, Perishable",Store Brand,,"flour, large, 8 pack",/wp-content/uploads/2016/11/tortilla.jpg,2.22,,,Shoppers Value,Published
Taco Shells,2.32,All Groceries,Bread,Shelf Stable,Old El Paso,,"crunchy corn, 12 pack",/wp-content/uploads/2016/11/old-el-paso-taco-shells.jpg,1.93,,,Shoppers Value,Published
Hot Dog Buns,1.58,All Groceries,Bread,"Shelf, Perishable",Store Brand,,"hot dog, 12 ounce, 8 count",/wp-content/uploads/2016/11/hotdogBuns.jpg,1.32,,,Shoppers Value,Published
Hamburger Buns,1.58,All Groceries,Bread,"Shelf, Perishable",Store Brand,,"burger, 12 ounce, 8 count",/wp-content/uploads/2016/11/hamburger-buns.jpg,1.32,,,Shoppers Value,Published
Fun Pak Cereals,4.93,All Groceries,Cereal,Shelf Stable,Kellogg's,,"variety, 8 count",/wp-content/uploads/2016/11/kelloggs-fun-pack.jpg,4.11,,,Shoppers Value,Published
Oatmeal - Variety Pack,4.74,All Groceries,Cereal,Shelf Stable,Quaker,,"flavor variety, 15 ounce, 10 pack",/wp-content/uploads/2016/11/quaker-oatmeal-flavor-variety.jpg,3.95,,,Shoppers Value,Published
Oatmeal - Fruit & Cream,4.74,All Groceries,Cereal,Shelf Stable,Quaker,,"fruit & cream variety, 9.8 ounce, 8 pack",/wp-content/uploads/2016/11/quaker-oatmeal-fruit-and-cream-variety.jpg,3.95,,,Shoppers Value,Published
Cheerios,5.06,All Groceries,Cereal,Shelf Stable,General Mills,,"regular, 12 ounce",/wp-content/uploads/2016/11/cheerios-12-oz.jpg,4.22,,,Shoppers Value,Published
Honey Nut Cheerios,5.75,All Groceries,Cereal,Shelf Stable,General Mills,,12.25 ounce,/wp-content/uploads/2016/11/Honey-Nut-Cheerios.jpg,4.79,,,Shoppers Value,Published
Special K,5.1,All Groceries,Cereal,Shelf Stable,Kellogg's,,"Original, 12 ounce",/wp-content/uploads/2016/11/special-k-12-oz.jpg,4.25,,,Shoppers Value,Published
Frosted Flakes,2.62,All Groceries,Cereal,Shelf Stable,Kellogg's,,10.5 ounce,/wp-content/uploads/2016/11/frosted-flakes.jpg,2.18,,,Shoppers Value,Published
Lucky Charms,5.75,All Groceries,Cereal,Shelf Stable,General Mills,,16 ounce ,/wp-content/uploads/2016/11/lucky-charms-16-oz.jpg,4.79,,,Shoppers Value,Published
Russet Potatoes,2.66,All Groceries,Produce,"Shelf, Perishable",,,"russet, 5 pound bag",/wp-content/uploads/2016/11/shelf-5-lb-bag-potatos.jpg,2.22,,,Shoppers Value,Published
Russet Potatoes,0.71,All Groceries,Produce,"Shelf, Perishable",,per pound,"russet, each",/wp-content/uploads/2016/11/single-potato.jpg,0.59,,,Shoppers Value,Published
"Carrots, Whole",1.39,All Groceries,Produce,Refrigerated,,,"whole, 1 pound bag",/wp-content/uploads/2016/11/Fridge-bag-carrots.jpg,1.16,,,Shoppers Value,Published
"Carrots, Baby",0.79,All Groceries,Produce,Refrigerated,,,"Baby, 1 pound bag",/wp-content/uploads/2016/11/Fridge-Baby-carrots.jpg,0.66,,,Shoppers Value,Published
Onions,1.07,All Groceries,Produce,"Shelf, Perishable",,per pound,"yellow, each, approx. 12 ounce each",/wp-content/uploads/2016/11/onion.jpg,0.89,,,Shoppers Value,Published
Cucumber,0.65,All Groceries,Produce,Refrigerated,,,each,/wp-content/uploads/2016/11/Cucumber.jpg,0.54,,,Shoppers Value,Published
Vine Ripened Tomatoes,2.62,All Groceries,Produce,Shelf Stable,,per pound,"vine ripened, each, approx. 4 ounce each",/wp-content/uploads/2016/11/shelf-Vine-Ripe-Tomatoes.jpg,2.18,,,Shoppers Value,Published
Grape Tomatoes,2.89,All Groceries,Produce,Shelf Stable,,,"grape, 1 pint",/wp-content/uploads/2016/11/grape-tomatoes.jpg,2.41,,,Shoppers Value,Published
Mushrooms,1.85,All Groceries,Produce,Refrigerated,,,"fresh, whole, 16 ounce",/wp-content/uploads/2016/11/mushrooms.jpg,1.54,,,Shoppers Value,Published
Iceberg Lettuce,1.52,All Groceries,Produce,Refrigerated,,,1 head,/wp-content/uploads/2016/11/iceberglettuce.jpg,1.27,,,Shoppers Value,Published
Romaine/Green Leaf Lettuce,1.31,All Groceries,Produce,Refrigerated,,,1 head,/wp-content/uploads/2016/11/leaf-lettuce.jpg,1.09,,,Shoppers Value,Published
Gala Apples,1.66,All Groceries,Produce,"Shelf, Perishable",,per pound,"Gala, 1 each, approx. 8 ounce each",/wp-content/uploads/2016/11/Shelf-apples-gala.jpg,1.38,,,Shoppers Value,Published
Granny Smith Apples,1.54,All Groceries,Produce,"Shelf, Perishable",,per pound,"Granny Smith, 1 each, approx. 8 ounce each",/wp-content/uploads/2016/11/granny-smith-apple.jpg,1.28,,,Shoppers Value,Published
Bananas,0.62,All Groceries,Produce,"Shelf, Perishable",,per pound,"1 each, approx. 8 ounce each",/wp-content/uploads/2016/11/banana.jpg,0.52,,,Shoppers Value,Published
Macaroni - Mac N Cheese,1.96,All Groceries,Pasta,Shelf Stable,Kraft,,"Mac N Cheese, 7.5 ounce box",/wp-content/uploads/2016/11/kraft-mac-and-cheese-225.jpg,1.63,,,Shoppers Value,Published
Pasta - Angel Hair ,1.86,All Groceries,Pasta,Shelf Stable,Barilla,,"angel hair, 1 pound ",/wp-content/uploads/2016/11/shelf-barilla-angel-hair.jpg,1.55,,,Shoppers Value,Published
Pasta - Spaghetti ,1.86,All Groceries,Pasta,Shelf Stable,Barilla,,"spaghetti, 1 pound ",/wp-content/uploads/2016/11/shelf-barilla-spaghetti.jpg,1.55,,,Shoppers Value,Published
Pasta - Elbows,1.86,All Groceries,Pasta,Shelf Stable,Barilla,,"elbows, 1 pound",/wp-content/uploads/2016/11/elbow.jpg,1.55,,,Shoppers Value,Published
Pasta - Penne,1.86,All Groceries,Pasta,Shelf Stable,Barilla,,"penne, 1 pound",/wp-content/uploads/2016/11/shelf-barilla-penne-1lb-1,1.55,,,Shoppers Value,Published
Marinara Sauce - Vegetable ,3.28,All Groceries,Other,Shelf Stable,Prego,,"marinara vegetable, 24 ounce",/wp-content/uploads/2016/11/prego-traditional.jpg,2.73,,,Shoppers Value,Published
Marinara Sauce - Vegetable ,3.26,All Groceries,Other,Shelf Stable,Ragu,,"marinara vegetable, 24 ounce",/wp-content/uploads/2016/11/ragu.jpg,2.72,,,Shoppers Value,Published
Marinara Sauce - Meat,3.28,All Groceries,Other,Shelf Stable,Prego,,"marinara w/Meat, 24 ounce",/wp-content/uploads/2016/11/prego-Meat.jpg,2.73,,,Shoppers Value,Published
Marinara Sauce - Meat,3.26,All Groceries,Other,Shelf Stable,Ragu,,"marinara w/ Meat, 24 ounce",/wp-content/uploads/2016/11/ragu-Meat-sauce.jpg,2.72,,,Shoppers Value,Published
Kidney Beans,1.4,All Groceries,Canned,Shelf Stable,Hanover,,"Red Kidney, 15 ounce",/wp-content/uploads/2016/11/Hanover-red-beans.jpg,1.17,,,Shoppers Value,Published
Kidney Beans,0.96,All Groceries,Canned,Shelf Stable,Store Brand,,"Red Kidney, 15 ounce",/wp-content/uploads/2016/11/canned-red-kidney-beans.jpg,0.8,,,Shoppers Value,Published
Black Beans,1.4,All Groceries,Canned,Shelf Stable,Hanover,,"Black, 15 ounce",/wp-content/uploads/2016/11/hanover_black_beans.jpg,1.17,,,Shoppers Value,Published
Black Beans,0.88,All Groceries,Canned,Shelf Stable,Store Brand,,"Black, 15 ounce",/wp-content/uploads/2016/11/shelf-BLACK-BEANS.jpg,0.73,,,Shoppers Value,Published
Great Northern Beans,0.84,All Groceries,Canned,Shelf Stable,Store Brand,,"Great Northern, 15 ounce",/wp-content/uploads/2016/11/great-northern-beans.jpg,0.7,,,Shoppers Value,Published
Corn,0.67,All Groceries,Canned,Shelf Stable,Store Brand,,"whole kernel sweet, 15.25 ounce",/wp-content/uploads/2016/11/corn-whole-kernal.jpg,0.56,,,Shoppers Value,Published
Peas,1.75,All Groceries,Canned,Shelf Stable,Green Giant,,"Sweet peas, 15 ounce",/wp-content/uploads/2016/11/GG-sweet-peas.jpg,1.46,,,Shoppers Value,Published
Peas,0.84,All Groceries,Canned,Shelf Stable,Store Brand,,"Sweet peas, 15 ounce",/wp-content/uploads/2016/11/canned-peas.jpg,0.7,,,Shoppers Value,Published
Diced Tomatoes,1.96,All Groceries,Canned,Shelf Stable,Hunt's,,"diced, 14.5 ounce",/wp-content/uploads/2016/11/Hunts_Diced_Tomatoes.jpg,1.63,,,Shoppers Value,Published
Diced Tomatoes,0.89,All Groceries,Canned,Shelf Stable,Store Brand,,"diced, 14.5 ounce",/wp-content/uploads/2016/11/dicedtomatoes.jpg,0.74,,,Shoppers Value,Published
"Diced Tomatoes, with Green Chilies",1.93,All Groceries,Canned,Shelf Stable,Ro* Tel,,"diced w/ green chilies, 10 ounce",/wp-content/uploads/2016/11/Rotel-tomatoes-w-chilies.jpg,1.61,,,Shoppers Value,Published
Tomato Sauce,0.82,All Groceries,Canned,Shelf Stable,Store Brand,,"sauce, 15 ounce",/wp-content/uploads/2016/11/Tomato_Sauce.jpg,0.68,,,Shoppers Value,Published
Tomato Sauce,1.58,All Groceries,Canned,Shelf Stable,Contadina/ Hunt's,,"sauce, 15 ounce",/wp-content/uploads/2016/11/hunts-tomato-sauce.jpg,1.32,,,Shoppers Value,Published
Green Beans,1.92,All Groceries,Canned,Shelf Stable,Del Monte,,"cut, 14.5 ounce",/wp-content/uploads/2016/11/delmonte_cut_green_beans.jpg,1.6,,,Shoppers Value,Published
Green Beans,0.73,All Groceries,Canned,Shelf Stable,Store Brand,,"cut, 14.5 ounce",/wp-content/uploads/2016/11/beans.jpg,0.61,,,Shoppers Value,Published
Chicken Noodle Soup,1.67,All Groceries,Canned,Shelf Stable,Campbell's,,"chicken noodle condensed, 10.75 ounce",/wp-content/uploads/2016/11/campbellsCondensed-Chicken-Noodle1.jpg,1.39,,,Shoppers Value,Published
Chicken Noodle Soup,1.14,All Groceries,Canned,Shelf Stable,Store Brand,,"chicken noodle condensed, 10.75 ounce",/wp-content/uploads/2016/11/chicken-noodle-soup.jpg,0.95,,,Shoppers Value,Published
Tomato Soup,1.03,All Groceries,Canned,Shelf Stable,Campbell's,,"tomato, condensed, 10.75 ounce",/wp-content/uploads/2016/11/campbells-tomato-soup-484.jpg,0.86,,,Shoppers Value,Published
Tomato Soup,0.79,All Groceries,Canned,Shelf Stable,Store Brand,,"tomato, condensed, 10.75 ounce",/wp-content/uploads/2016/11/tomato-soup.jpg,0.66,,,Shoppers Value,Published
Minestrone Soup,2.62,All Groceries,Canned,Shelf Stable,Progresso,,"vegetable Minestrone, 19 ounce",/wp-content/uploads/2016/11/progresso-minestrone-vegetable-classics-46239.jpg,2.18,,,Shoppers Value,Published
Thousand Island Dressing,1.99,All Groceries,Condiments,Shelf Stable,Wish Bone,,"Thousand Island, 8 ounce",/wp-content/uploads/2016/11/shelf-WishboneThousandIsland.jpg,1.66,,,Shoppers Value,Published
Italian Dressing,1.99,All Groceries,Condiments,Shelf Stable,Wish Bone,,"Italian, 8 ounce",/wp-content/uploads/2016/11/shelf-wishbone-italian.jpg,1.66,,,Shoppers Value,Published
Ranch Dressing,1.99,All Groceries,Condiments,Shelf Stable,Wish Bone,,"Ranch, 8 ounce",/wp-content/uploads/2016/11/shelf-Wishbone-Ranch.jpg,1.66,,,Shoppers Value,Published
"Pickle Relish, Sweet",1.97,All Groceries,Condiments,Shelf Stable,Mt. Olive,,"sweet, 8 ounce",/wp-content/uploads/2016/11/Mt-Olive-Sweet-Relish.jpg,1.64,,,Shoppers Value,Published
"Pickle Relish, Dill",1.97,All Groceries,Condiments,Shelf Stable,Mt. Olive,,"dill, 8 ounce",/wp-content/uploads/2016/11/Mt-Olive-dill-relish.jpg,1.64,,,Shoppers Value,Published
Mayonnaise,2.71,All Groceries,Condiments,Shelf Stable,Hellmann's,,8 ounce,/wp-content/uploads/2016/11/Hellman's-mayo.jpg,2.26,,,Shoppers Value,Published
"Mustard_, Yellow",1.69,All Groceries,Condiments,Shelf Stable,French's,,8 ounce,/wp-content/uploads/2016/11/Classic-Yellow_Overview.jpg,1.41,,,Shoppers Value,Published
"Mustard, Dijon ",3.44,All Groceries,Condiments,Shelf Stable,Grey Poupon,,8 ounce,/wp-content/uploads/2016/11/grey_poupon_dijon.jpg,2.87,,,Shoppers Value,Published
Ketchup_,2.11,All Groceries,Condiments,Shelf Stable,Heinz,,8 ounce,/wp-content/uploads/2016/11/HZK_3D_38oz-Ketchup-small.jpg,1.76,,,Shoppers Value,Published
Taco Seasoning,1.01,All Groceries,Other,Shelf Stable,Old El Paso,,"Original, 1 ounce",/wp-content/uploads/2016/11/seasoning-mix-taco-large.jpg,0.84,,,Shoppers Value,Published
Tortilla Chips,4.49,All Groceries,Snack,Shelf Stable,Tostitos,,"corn, 9 ounce",/wp-content/uploads/2016/11/tostitos.jpg,3.74,,,Shoppers Value,Published
Salsa,3.3,All Groceries,Snack,Shelf Stable,Pace,,"chunky, medium, 16 ounce",/wp-content/uploads/2016/11/pace-salsa.jpg,2.75,,,Shoppers Value,Published
Utz Snack Pack Potato Chips,4.22,All Groceries,Snack,Shelf Stable,Utz,,"Variety Pack, 12, 1-ounce bags",/wp-content/uploads/2016/11/shelf-utz-snack-pack.jpg,3.52,,,Shoppers Value,Published
"Popcorn, Microwave",6.34,All Groceries,Snack,Shelf Stable,Orville Redenbacher's,,"movie theater butter, 6 count",/wp-content/uploads/2016/11/redenbacher-movie-theater-popcorn.jpg,5.28,,,Shoppers Value,Published
Goldfish,2.8,All Groceries,Snack,Shelf Stable,Pepperidge Farm,,"Cheddar baked, 6.6 ounce",/wp-content/uploads/2016/11/goldfish.jpg,2.33,,,Shoppers Value,Published
Creamy Peanut Butter,3.25,All Groceries,Other,Shelf Stable,Jif,,"creamy, 16 ounce",/wp-content/uploads/2016/11/jif-creamy.jpg,2.71,,,Shoppers Value,Published
Chunky Peanut Butter,3.25,All Groceries,Other,Shelf Stable,Skippy,,"chunky, 16.3 ounce",/wp-content/uploads/2016/11/skippy-chunky.jpg,2.71,,,Shoppers Value,Published
Jam,3.59,All Groceries,Other,Shelf Stable,Smucker's,,"strawberry, 18 ounce",/wp-content/uploads/2016/11/smuckers-strawberry-jam.jpg,2.99,,,Shoppers Value,Published
Jelly,2.62,All Groceries,Other,Shelf Stable,Smucker's,,"grape, 18 ounce",/wp-content/uploads/2016/11/smuckers-grape-jelly.jpg,2.18,,,Shoppers Value,Published
Preserves,2.62,All Groceries,Other,Shelf Stable,Smucker's,,"strawberry, 12 ounce",/wp-content/uploads/2016/11/smuckers-strawberry-preserves.jpg,2.18,,,Shoppers Value,Published
Honey,5.58,All Groceries,Other,Shelf Stable,Sue Bee,,"clover, 12 ounce",/wp-content/uploads/2016/11/Sue-Bee-Bear-12-oz-500x800.jpg,4.65,,,Shoppers Value,Published
Maple Syrup,5.04,All Groceries,Other,Shelf Stable,Aunt Jemima,,"Original, 24 ounce",/wp-content/uploads/2016/11/Shelf-aunt-jemima-syrup-24-oz.jpg,4.2,,,Shoppers Value,Published
