Product Title, Price,Parent Category,Sub Category,Product Tag,Short Description,Meta,Long Description,Product-Image-(Vincent-will-fill-in),Walmart Price,Shoppers Value,Willow Grove,Main Street Bakery,Primary Store,Status
Ice Cream,5.86,All Groceries,Dairy,Freezer,Turkey Hill,48 oz,Choco Mint Chip,,,4.88,,,Shoppers Value,
Ice Cream,4.92,All Groceries,Snack,Freezer,Popsicle,20 pk,Rainbow flavors,,,4.1,,,Shoppers Value,
Ice Cream,1.06,All Groceries,Snack,"Shelf, Stable",store brand,12 pk,Ice cream cups/ cones,,,0.88,,,Shoppers Value,
Ice Cream,1.44,All Groceries,Snack,"Shelf, Stable",Fun Pops,12 pk,variety flavor ices,,,1.2,,,Shoppers Value,
Charcoal,13.58,All Groceries,Other,"Shelf, Stable",Kingsford,11.6 lb,"Charcoal, Matchlight",,,11.32,,,Shoppers Value,
Lighter Fluid,5.11,All Groceries,Other,"Shelf, Stable",Kingsford,1 qt,Lighter fluid,,,4.26,,,Shoppers Value,
Lighter Fluid,3.95,All Groceries,Other,"Shelf, Stable",Store Brand ,1 qt,Lighter fluid,,,3.29,,,Shoppers Value,
Fire Pit Wood,4.87,All Groceries,Other,"Shelf, Stable",Store Brand ,bundle,Fire Wood,,,4.06,,,Shoppers Value,
Ibuprofen,5.46,All Groceries,"Medicines, adult","Shelf, Stable",Advil,24 ct,"Ibuprofen, coated tablets",,,4.55,,,Shoppers Value,
Ibuprofen,1.72,All Groceries,"Medicines, adult","Shelf, Stable",Store Brand ,100 ct,"Ibuprofen, coated tablets",,,1.43,,,Shoppers Value,
acetaminophen,5.15,All Groceries,"Medicines, adult","Shelf, Stable",Tylenol,24 ct,"Acetaminophen, Extra Strength",,,4.29,,,Shoppers Value,
acetaminophen,1.08,All Groceries,"Medicines, adult","Shelf, Stable",Store Brand ,24 ct,"Acetaminophen, Extra Strength",,,0.9,,,Shoppers Value,
Allergy Relief,6.47,All Groceries,"Medicines, adult","Shelf, Stable",Benadryl,24 ct,Allergy Relief,,,5.39,,,Shoppers Value,
Allergy Relief,1.55,All Groceries,"Medicines, adult","Shelf, Stable",Store Brand ,14 ct,Allergy Relief (compared to Zyrtec),,,1.29,,,Shoppers Value,
Formula,23.84,All Groceries,Baby,"Shelf, Stable",Similac,12 oz,"Baby Formula, Sensitive",,,19.87,,,Shoppers Value,
cookies,5.2,All Groceries,Snack,"Shelf, Stable",Nabisco,14.3 oz,"Cookies, Oreo",,,4.33,,,Shoppers Value,
cookies,4.38,All Groceries,Snack,"Shelf, Stable",Nabisco,11.75 oz,"Cookies, Chips Ahoy, Chunky",,,3.65,,,Shoppers Value,
cookies,5.41,All Groceries,Snack,"Shelf, Stable",Nabisco,16 oz,"Cookies, Nutter Butter",,,4.51,,,Shoppers Value,
cookies,4.84,All Groceries,Snack,"Shelf, Stable",Nabisco,11 oz,"Cookies, Nilla Wafers",,,4.03,,,Shoppers Value,
Brownies,1.84,All Groceries,Snack,"Shelf, Stable",Pillsbury,13 x 9,"Brownies, chocolate fudge",,,1.53,,,Shoppers Value,
Brownies,1.84,All Groceries,Snack,"Shelf, Stable",Pillsbury,13 x 9,"Brownies, milk chocolate",,,1.53,,,Shoppers Value,
Bread,6.55,All Groceries,bread,Freezer,Rudi's,12 oz,"Bread, gluten-free, original",,,5.46,,,Shoppers Value,
Bread,6.55,All Groceries,bread,Freezer,Rudi's,13 oz,"bread, gluten-free, multigrian",,,5.46,,,Shoppers Value,
Muffins,1.24,All Groceries,bread,Refrigerated,Store Brand ,12 oz,"bread, english muffins",,,1.03,,,Shoppers Value,
Buns,3.77,All Groceries,bread,"Shelf, Perishable",Martin's,8 count,"bread, hot dog buns, potato",,,3.14,,,Shoppers Value,
Buns,3.77,All Groceries,bread,"Shelf, Perishable",Martin's,8 count,"bread, hamburger buns, potato",,,3.14,,,Shoppers Value,
soup,1.28,All Groceries,canned,"Shelf, Stable",College Inn,14.5 oz,chicken broth,,,1.07,,,Shoppers Value,
pretzels,3.73,All Groceries,Snack,"Shelf, Stable",Utz,16 oz,"Pretzels, extra thin twists",,,3.11,,,Shoppers Value,
candy,1.31,All Groceries,Snack,"Shelf, Stable",Haribo,5 oz,Gummy Bears,,,1.09,,,Shoppers Value,
trail mix,3.72,All Groceries,Snack,"Shelf, Stable",store brand,9 oz,"Trail Mix, Classic",,,3.1,,,Shoppers Value,
cheese,4.09,All Groceries,dairy,refridgerated,Crystal Farms,10 oz,"Cheese, mild chedder, cracker cuts",,,3.41,,,Shoppers Value,
cheese,4.09,All Groceries,dairy,refridgerated,Crystal Farms,10 oz,"Cheese, sharp chedder, cracker cuts",,,3.41,,,Shoppers Value,
cheese,4.09,All Groceries,dairy,refridgerated,Crystal Farms,10 oz,"Cheese, pepper jack, cracker cuts",,,3.41,,,Shoppers Value,
cheese,4.09,All Groceries,dairy,refridgerated,Crystal Farms,10 oz,"Cheese, Swiss, cracker cuts",,,3.41,,,Shoppers Value,
cheese,4.24,All Groceries,Dairy,Refrigerated,Kraft,6.4 oz,"cheddar cheese, sharp, cubed",,,3.53,,,Shoppers Value,
cheese,4.32,All Groceries,Dairy,refrigerated,Crystal Farms,10 oz,"Cheese, mozzarela, string",,,3.6,,,Shoppers Value,
bacon,4.44,All Groceries,meat,Refrigerated,Kunzler,10 oz,"bacon, original",,,3.7,,,Shoppers Value,
meat,5.18,All Groceries,meat,refrigerated,Hillshire Farms,7 oz,"deli meat, roast beef, sliced",,,4.32,,,Shoppers Value,
meat,5.29,All Groceries,meat,refrigerated,Hillshire Farms,9 oz,"deli meat, smoked turkey",,,4.41,,,Shoppers Value,
meat,5.18,All Groceries,meat,refrigerated,Hillshire Farms,9 oz,"deli meat, smoked ham",,,4.32,,,Shoppers Value,
meat,5.18,All Groceries,meat,refrigerated,Hillshire Farms,9 oz,"deli meat, honey ham",,,4.32,,,Shoppers Value,
meat,3.42,All Groceries,meat,Freezer,store brand,1 lb,"Turkey, ground, frozen",,,2.85,,,Shoppers Value,
meat,3.42,All Groceries,meat,refrigerated,store brand,"1 lb, approx","Chicken breast, ",,,2.85,,,Shoppers Value,
meat,7.81,All Groceries,meat,refrigerated,store brand,approx 48 oz,"Chicken, rotisserie",,,6.51,,,Shoppers Value,
meat,3.2,All Groceries,meat,refrigerated,Kunzler,16 oz,"hot dogs, regular",,,2.67,,,Shoppers Value,
pasta,2.8,All Groceries,pasta,"Shelf, Stable",Betty Crocker,7.5 oz,"Suddenly Salad, classic",,,2.33,,,Shoppers Value,
pasta,2.8,All Groceries,pasta,"Shelf, Stable",Betty Crocker,7.5 oz,"Suddenly Salad, creamy italian",,,2.33,,,Shoppers Value,
pasta,2.59,All Groceries,pasta,"Shelf, Stable",Mueller's ,12 oz,"Shells, Jumbo",,,2.16,,,Shoppers Value,
pasta,2.14,All Groceries,pasta,"Shelf, Stable",Mueller's ,16 oz,"Shells, small sea",,,1.78,,,Shoppers Value,
beans,2.76,All Groceries,canned,"Shelf, Stable",Bush's,28 oz,"Baked Beans, Bush's Best, Homestyle",,,2.3,,,Shoppers Value,
beans,2.76,All Groceries,canned,"Shelf, Stable",Bush's,28 oz,"Baked Beans, Bush's Best, Vegetarian",,,2.3,,,Shoppers Value,
oil,2.32,All Groceries,"Other, Condiments","Shelf, Stable",Crisco,16 oz,"Oil, vegetable",,,1.93,,,Shoppers Value,
oil,4.49,All Groceries,"Other, Condiments","Shelf, Stable",store brand,17 oz,"Oil, olive, extra virgin",,,3.74,,,Shoppers Value,
coffee,1.4,All Groceries,Kitchen Ware,"Shelf, Stable",store brand,100 ct,"Filters, coffee, 8-12 cup",,,1.17,,,Shoppers Value,
Salt & Pepper,1.81,All Groceries,Condiments,"Shelf, Stable",store brand,,Salt & Pepper combo,,,1.51,,,Shoppers Value,
Pizza,5.42,All Groceries,Quick Foods,Freezer,Culinary Circle,"12""","Pizza, pepperoni, thin crust",,,4.52,,,Shoppers Value,
Pizza,5.42,All Groceries,Quick Foods,Freezer,Culinary Circle,"12""","Pizza, pepperoni, rising crust",,,4.52,,,Shoppers Value,
Pizza,5.42,All Groceries,Quick Foods,Freezer,Culinary Circle,"12""","Pizza, supreme, thin crust",,,4.52,,,Shoppers Value,
Pizza,5.42,All Groceries,Quick Foods,Freezer,Culinary Circle,"12""","Pizza, supreme, rising crust",,,4.52,,,Shoppers Value,
Pizza,5.42,All Groceries,Quick Foods,Freezer,Culinary Circle,"12""","Pizza, cheese, rising crust",,,4.52,,,Shoppers Value,
Pizza,5.26,All Groceries,Quick Foods,Freezer,Tombstone,"12""","Pizza, pepperoni",,,4.38,,,Shoppers Value,
Pizza,5.26,All Groceries,Quick Foods,Freezer,Tombstone,"12""","Pizza, 4 meat",,,4.38,,,Shoppers Value,
Pizza,5.26,All Groceries,Quick Foods,Freezer,Tombstone,"12""","Pizza, supreme",,,4.38,,,Shoppers Value,
Pizza,5.26,All Groceries,Quick Foods,Freezer,Tombstone,"12""","Pizza, cheese",,,4.38,,,Shoppers Value,
"Chicken, frozen",5.24,All Groceries,"Quick Foods, Meat",Freezer,Banquet,24 oz,Chicken breast nuggets,,,4.37,,,Shoppers Value,
"Chicken, frozen",5.24,All Groceries,"Quick Foods, Meat",Freezer,Banquet,24 oz,Chicken breast strips,,,4.37,,,Shoppers Value,
Fries,4.09,All Groceries,Quick Foods,Freezer,Ore Ida,32 oz,"Fries, golden",,,3.41,,,Shoppers Value,
Fries,4.09,All Groceries,Quick Foods,Freezer,Ore Ida,32 oz,"fries, crinkle",,,3.41,,,Shoppers Value,
Waffles,3.18,All Groceries,Quick Foods,Freezer,Eggo,10 count,"Waffles, frozen",,,2.65,,,Shoppers Value,
Waffles,1.62,All Groceries,Quick Foods,Freezer,store brand,10 count,"Waffles, frozen",,,1.35,,,Shoppers Value,
Scallops,22.8,All Groceries,"Meat, Seafood",Freezer,,"1 lb, aprox",Scallops,,,,19,,Willow Grove,
Shrimp,16.8,All Groceries,"Meat, Seafood",Freezer,,"1 lb, aprox","Shrimp, gulf",,,,14,,Willow Grove,
Ham,8.99,All Groceries,meat,refrigerator,Kite's ,"1 lb, aprox","Ham, Virginia, breakfast slices",,,,7.49,,Willow Grove,
pork,6.54,All Groceries,meat,refrigerated,Gore's,1 lb,"Pork, sausage, bulk",,,,5.45,,Willow Grove,
Milk,5.99,All Groceries,Dairy,refrigerator,Mt. Crawford Creamery,gallon,"Milk, whole, pasteurized Non-homogenized, creamilne",,,,4.99,,Willow Grove,
Milk,4.79,All Groceries,Dairy,refrigerator,Mt. Crawford Creamery,1/2 gal,"Milk, whole, pasteurized Non-homogenized, creamilne",,,,3.99,,Willow Grove,
Milk,5.99,All Groceries,Dairy,refrigerator,Mt. Crawford Creamery,gallon,"Milk, 2%, pasteurized Non-homogenized, creamilne",,,,4.99,,Willow Grove,
Milk,4.79,All Groceries,Dairy,refrigerator,Mt. Crawford Creamery,1/2 gal,"Milk, 2%, pasteurized Non-homogenized, creamilne",,,,3.99,,Willow Grove,
Milk,5.99,All Groceries,Dairy,refrigerator,Mt. Crawford Creamery,gallon,"Milk, skim, pasteurized Non-homogenized, creamline",,,,4.99,,Willow Grove,
Milk,4.79,All Groceries,Dairy,refrigerator,Mt. Crawford Creamery,1/2 gal,"Milk, skim, pasteurized Non-homogenized, creamline",,,,3.99,,Willow Grove,
